<VALUE_LABEL_DTABLE
  ni_type="2*String"
  ni_dimen="78" >
 "6" "ctx-lh-BA7"
 "13" "ctx-lh-BA17"
 "36" "ctx-lh-BA44"
 "106" "ctx-rh-BA7"
 "111" "ctx-rh-BA13"
 "129" "ctx-rh-BA35_36"
 "134" "ctx-rh-BA41_42_52"
 "7" "ctx-lh-BA8"
 "14" "ctx-lh-BA18"
 "37" "ctx-lh-BA45"
 "107" "ctx-rh-BA8"
 "112" "ctx-rh-BA16"
 "135" "ctx-rh-BA43"
 "8" "ctx-lh-BA9"
 "15" "ctx-lh-BA19"
 "20" "ctx-lh-BA24"
 "38" "ctx-lh-BA46"
 "108" "ctx-rh-BA9"
 "113" "ctx-rh-BA17"
 "136" "ctx-rh-BA44"
 "9" "ctx-lh-BA10"
 "16" "ctx-lh-BA20"
 "21" "ctx-lh-BA25"
 "39" "ctx-lh-BA47"
 "109" "ctx-rh-BA10"
 "114" "ctx-rh-BA18"
 "137" "ctx-rh-BA45"
 "17" "ctx-lh-BA21"
 "22" "ctx-lh-BA26_29_30"
 "115" "ctx-rh-BA19"
 "120" "ctx-rh-BA24"
 "138" "ctx-rh-BA46"
 "18" "ctx-lh-BA22"
 "23" "ctx-lh-BA27"
 "116" "ctx-rh-BA20"
 "121" "ctx-rh-BA25"
 "139" "ctx-rh-BA47"
 "19" "ctx-lh-BA23"
 "24" "ctx-lh-BA28"
 "117" "ctx-rh-BA21"
 "122" "ctx-rh-BA26_29_30"
 "25" "ctx-lh-BA31"
 "30" "ctx-lh-BA37"
 "118" "ctx-rh-BA22"
 "123" "ctx-rh-BA27"
 "1" "ctx-lh-BA1_3"
 "26" "ctx-lh-BA32"
 "31" "ctx-lh-BA38"
 "101" "ctx-rh-BA1_3"
 "119" "ctx-rh-BA23"
 "124" "ctx-rh-BA28"
 "2" "ctx-lh-BA2"
 "27" "ctx-lh-BA33"
 "32" "ctx-lh-BA39"
 "102" "ctx-rh-BA2"
 "125" "ctx-rh-BA31"
 "130" "ctx-rh-BA37"
 "3" "ctx-lh-BA4"
 "10" "ctx-lh-BA11"
 "28" "ctx-lh-BA34"
 "33" "ctx-lh-BA40"
 "103" "ctx-rh-BA4"
 "126" "ctx-rh-BA32"
 "131" "ctx-rh-BA38"
 "4" "ctx-lh-BA5"
 "11" "ctx-lh-BA13"
 "29" "ctx-lh-BA35_36"
 "34" "ctx-lh-BA41_42_52"
 "104" "ctx-rh-BA5"
 "127" "ctx-rh-BA33"
 "132" "ctx-rh-BA39"
 "5" "ctx-lh-BA6"
 "12" "ctx-lh-BA16"
 "35" "ctx-lh-BA43"
 "105" "ctx-rh-BA6"
 "110" "ctx-rh-BA11"
 "128" "ctx-rh-BA34"
 "133" "ctx-rh-BA40"
</VALUE_LABEL_DTABLE>
