<VALUE_LABEL_DTABLE
  ni_type="2*String"
  ni_dimen="314" >
 "9" "right_Area_hOc4v_(LingG)"
 "10" "right_Area_hOc3v_(LingG)"
 "224" "left_CA3_(Hippocampus)"
 "47" "right_Area_hOc3d_(Cuneus)"
 "51" "right_Area_3a_(PostCG)"
 "265" "left_SF_(Amygdala)"
 "88" "right_Area_IFJ1_(IFS,PreCS)"
 "92" "right_Ch_4_(Basal_Forebrain)"
 "102" "right_Area_hOc6_(POS)"
 "305" "left_Area_hIP4_(IPS)"
 "139" "right_Fundus_of_Caudate_Nucleus,_ventral_Striatum_(Basal_Ganglia)"
 "143" "right_CGL_(Metathalamus)"
 "346" "left_Area_Id9_(Insula)"
 "350" "left_Area_Id10_(Insula)"
 "11" "right_Area_TE_1.0_(HESCHL)"
 "225" "left_Entorhinal_Cortex"
 "48" "right_Area_4p_(PreCG)"
 "52" "right_Area_3b_(PostCG)"
 "266" "left_LB_(Amygdala)"
 "270" "left_Area_Fp2_(FPole)"
 "89" "right_Area_IFJ2_(IFS,PreCS)"
 "93" "right_Area_STS1_(STS)"
 "103" "right_Area_hIP6_(IPS)"
 "306" "left_Area_hIP5_(IPS)"
 "310" "left_Area_6ma_(preSMA,_mesial_SFG)"
 "144" "right_CGM_(Metathalamus)"
 "347" "left_Area_Ia3_(Insula)"
 "351" "left_BST_(Bed_Nucleus)"
 "12" "right_Area_TE_2.1_(STG)"
 "226" "left_DG_(Hippocampus)"
 "230" "left_Area_OP1_(POperc)"
 "49" "right_Area_4a_(PreCG)"
 "53" "right_Area_hIP1_(IPS)"
 "267" "left_Subiculum_(Hippocampus)"
 "271" "left_Area_Fp1_(FPole)"
 "94" "right_Area_STS2_(STS)"
 "104" "right_Area_hIP8_(IPS)"
 "307" "left_Area_hIP7_(IPS)"
 "311" "left_HC-Transsubiculum_(Hippocampus)"
 "145" "right_STN_(Subthalamus)"
 "348" "left_Area_Ia2_(Insula)"
 "352" "left_Frontal-I_(GapMap)"
 "13" "right_Area_TPJ_(STG/SMG)"
 "227" "left_CA1_(Hippocampus)"
 "231" "left_Area_OP2_(POperc)"
 "54" "right_Area_hIP2_(IPS)"
 "268" "left_Area_PF_(IPL)"
 "272" "left_Fastigial_Nucleus_(Cerebellum)"
 "95" "right_Area_Op8_(Frontal_Operculum)"
 "105" "right_Area_hIP4_(IPS)"
 "308" "left_Area_hPO1_(POS)"
 "312" "left_Tuberculum_(Basal_Forebrain)"
 "146" "right_Area_Id9_(Insula)"
 "349" "left_Area_Id8_(Insula)"
 "150" "right_Area_Id10_(Insula)"
 "353" "left_Frontal-II_(GapMap)"
 "14" "right_Area_TE_1.2_(HESCHL)"
 "228" "left_HATA_(Hippocampus)"
 "232" "left_Area_OP3_(POperc)"
 "55" "right_Area_5L_(SPL)"
 "269" "left_Area_7P_(SPL)"
 "273" "left_VTM_(Amygdala)"
 "96" "right_Area_Op9_(Frontal_Operculum)"
